open_time,open,high,low,close,volume
2026-04-15 01:00:00,74568.37,74751.72,74512.47,74742.65,148.5356
2026-04-15 01:15:00,74742.66,74786.72,74589.8,74677.06,92.78185
2026-04-15 01:30:00,74677.69,74702.93,74500.0,74634.94,124.32831
2026-04-15 01:45:00,74634.93,74747.8,74579.39,74613.28,77.52162
2026-04-15 02:00:00,74613.28,74697.47,74526.27,74543.15,95.00601
2026-04-15 02:15:00,74543.16,74599.65,74328.8,74348.57,103.27165
2026-04-15 02:30:00,74348.57,74356.7,74188.0,74276.59,247.6402
2026-04-15 02:45:00,74276.6,74350.0,74195.39,74322.0,61.03866
2026-04-15 03:00:00,74322.01,74327.4,74214.16,74226.08,61.94873
2026-04-15 03:15:00,74226.07,74371.1,74173.75,74299.65,78.75598
2026-04-15 03:30:00,74299.64,74341.4,74207.19,74233.7,98.88904
2026-04-15 03:45:00,74233.69,74372.84,74220.5,74345.97,78.02737
2026-04-15 04:00:00,74345.98,74434.51,74335.39,74344.14,128.58882
2026-04-15 04:15:00,74344.14,74400.0,74300.0,74318.14,135.4035
2026-04-15 04:30:00,74318.13,74410.15,74273.23,74332.16,213.12496
2026-04-15 04:45:00,74332.15,74350.32,74261.47,74340.38,183.35577
2026-04-15 05:00:00,74340.38,74434.0,74197.27,74207.36,124.12288
2026-04-15 05:15:00,74207.36,74234.0,74000.0,74013.83,153.50857
2026-04-15 05:30:00,74013.83,74034.5,73864.01,73948.83,168.25225
2026-04-15 05:45:00,73948.83,74037.63,73907.73,74021.5,96.16095
2026-04-15 06:00:00,74021.5,74048.95,73909.99,73938.0,151.85125
2026-04-15 06:15:00,73938.0,74021.54,73910.0,73925.09,85.4655
2026-04-15 06:30:00,73925.09,74000.0,73896.27,73999.99,96.70147
2026-04-15 06:45:00,74000.0,74018.95,73855.49,73891.62,85.07186
2026-04-15 07:00:00,73891.62,74016.67,73814.93,73913.7,532.77129
2026-04-15 07:15:00,73913.71,73913.71,73592.36,73711.33,402.03672
2026-04-15 07:30:00,73711.33,73713.25,73575.01,73593.15,183.99055
2026-04-15 07:45:00,73593.14,73781.63,73514.0,73730.43,333.00596
2026-04-15 08:00:00,73730.43,73849.47,73675.96,73846.59,123.44424
2026-04-15 08:15:00,73846.6,73992.24,73839.02,73990.51,90.4187
2026-04-15 08:30:00,73990.5,74172.52,73972.47,74094.97,154.10428
2026-04-15 08:45:00,74094.97,74181.9,74033.01,74110.51,164.86749
2026-04-15 09:00:00,74110.52,74176.49,73960.13,74029.5,220.04009
2026-04-15 09:15:00,74029.51,74083.64,73930.97,73957.34,51.80582
2026-04-15 09:30:00,73957.34,74004.81,73909.49,73966.0,44.79329
2026-04-15 09:45:00,73966.01,74024.94,73925.03,74011.69,46.5787
2026-04-15 10:00:00,74011.7,74179.26,73984.31,74109.49,89.72268
2026-04-15 10:15:00,74109.5,74115.46,73884.69,73904.46,114.90258
2026-04-15 10:30:00,73904.45,74051.65,73789.5,74051.65,184.37281
2026-04-15 10:45:00,74051.65,74250.0,73831.12,73864.75,159.8894
2026-04-15 11:00:00,73864.76,74088.77,73864.76,74023.5,116.26612
2026-04-15 11:15:00,74023.51,74023.51,73928.9,73956.41,42.94653
2026-04-15 11:30:00,73956.41,74057.37,73940.01,74049.21,49.48567
2026-04-15 11:45:00,74049.21,74256.44,74034.0,74201.78,236.03458
2026-04-15 12:00:00,74201.78,74255.01,74051.64,74201.76,226.91297
2026-04-15 12:15:00,74201.76,74257.7,74119.0,74177.1,53.3661
2026-04-15 12:30:00,74177.1,74466.1,74177.09,74333.96,167.88209
2026-04-15 12:45:00,74333.96,74370.01,74273.77,74273.77,119.28413
2026-04-15 13:00:00,74273.77,74376.81,74182.17,74322.02,125.44985
2026-04-15 13:15:00,74322.01,74434.51,74250.0,74398.09,86.89994
2026-04-15 13:30:00,74398.09,74417.04,73861.84,73879.18,318.76035
2026-04-15 13:45:00,73879.18,74134.06,73817.23,74063.92,145.24891
2026-04-15 14:00:00,74063.91,74154.48,73830.0,74154.48,154.44336
2026-04-15 14:15:00,74154.47,74506.84,74129.87,74429.99,278.95853
2026-04-15 14:30:00,74429.99,74462.95,73919.33,73962.75,236.00368
2026-04-15 14:45:00,73962.76,74257.3,73954.89,74151.81,88.36012
2026-04-15 15:00:00,74151.81,74299.07,73976.0,74275.11,178.924
2026-04-15 15:15:00,74274.27,74298.02,73985.29,74026.71,83.5111
2026-04-15 15:30:00,74026.71,74026.72,73580.85,73853.38,368.59591
2026-04-15 15:45:00,73853.38,73991.28,73733.39,73844.08,112.26031
2026-04-15 16:00:00,73844.07,74017.63,73762.89,74010.35,92.66963
2026-04-15 16:15:00,74010.35,74176.0,73978.41,74095.13,160.16938
2026-04-15 16:30:00,74095.13,74157.42,73866.25,73899.17,152.19882
2026-04-15 16:45:00,73899.17,74024.0,73820.46,73941.09,142.81153
2026-04-15 17:00:00,73941.09,74110.22,73915.48,74038.84,224.18885
2026-04-15 17:15:00,74038.84,74242.0,73959.73,74116.23,138.86733
2026-04-15 17:30:00,74116.23,74191.31,73916.96,73980.0,143.23825
2026-04-15 17:45:00,73980.0,74173.36,73936.44,74134.95,87.14809
2026-04-15 18:00:00,74134.95,74306.78,74073.61,74283.8,145.68727
2026-04-15 18:15:00,74283.79,74360.0,74149.99,74202.93,157.80266
2026-04-15 18:30:00,74202.94,74327.27,74195.52,74311.69,53.88154
2026-04-15 18:45:00,74311.7,74399.75,74284.29,74390.29,49.71951
2026-04-15 19:00:00,74390.29,74712.36,74355.46,74644.74,286.84244
2026-04-15 19:15:00,74644.74,74720.0,74561.85,74719.99,110.33964
2026-04-15 19:30:00,74719.99,75281.0,74719.99,75068.15,513.55943
2026-04-15 19:45:00,75068.15,75136.9,74939.92,75002.6,269.24926
2026-04-15 20:00:00,75002.6,75039.92,74590.3,74668.55,212.08245
2026-04-15 20:15:00,74668.54,74779.16,74512.06,74766.13,136.97396
2026-04-15 20:30:00,74766.14,74914.28,74633.57,74738.77,111.91479
2026-04-15 20:45:00,74738.77,74874.0,74725.31,74841.68,109.12772
2026-04-15 21:00:00,74841.67,74855.16,74724.36,74724.37,76.38802
2026-04-15 21:15:00,74724.36,74724.37,74588.89,74639.56,85.48427
2026-04-15 21:30:00,74639.56,74815.36,74540.23,74730.02,95.61943
2026-04-15 21:45:00,74730.01,74824.65,74706.26,74743.1,53.16863
2026-04-15 22:00:00,74743.1,75156.62,74740.02,75040.14,176.19953
2026-04-15 22:15:00,75040.15,75057.31,74900.0,74990.54,104.89513
2026-04-15 22:30:00,74990.54,75425.0,74918.34,75054.01,232.08963
2026-04-15 22:45:00,75054.0,75200.0,74912.05,74964.0,140.76572
2026-04-15 23:00:00,74964.01,74964.01,74706.0,74748.92,149.82116
2026-04-15 23:15:00,74748.92,74764.0,74650.0,74737.87,53.50952
2026-04-15 23:30:00,74737.88,74779.16,74620.95,74656.21,48.53381
2026-04-15 23:45:00,74656.2,74858.86,74656.18,74809.99,59.40397
2026-04-16 00:00:00,74809.99,74829.89,74607.54,74607.54,90.37375
2026-04-16 00:15:00,74607.54,74660.4,74451.49,74595.58,143.86967
2026-04-16 00:30:00,74595.59,74874.93,74595.59,74770.18,216.27287
2026-04-16 00:45:00,74770.17,74847.88,74690.48,74815.1,186.43236
2026-04-16 01:00:00,74815.09,74815.09,74454.09,74568.23,99.02261
2026-04-16 01:15:00,74568.24,74688.0,74520.3,74617.47,40.47837
2026-04-16 01:30:00,74617.47,74702.0,74583.91,74688.0,42.25989
2026-04-16 01:45:00,74687.99,74710.0,74560.0,74657.66,58.89061
2026-04-16 02:00:00,74657.67,74750.0,74601.27,74678.54,90.98847
2026-04-16 02:15:00,74678.54,74905.91,74610.59,74896.51,109.54222
2026-04-16 02:30:00,74896.52,75245.5,74896.51,75197.93,252.55609
2026-04-16 02:45:00,75197.93,75267.85,74810.17,74887.24,136.56937
2026-04-16 03:00:00,74887.23,75125.4,74876.37,74955.38,167.21811
2026-04-16 03:15:00,74955.07,75159.26,74955.06,75037.84,140.62007
2026-04-16 03:30:00,75037.85,75048.0,74950.75,74965.68,52.02546
2026-04-16 03:45:00,74965.68,74981.32,74865.5,74888.21,110.85602
2026-04-16 04:00:00,74888.21,75010.0,74839.51,74940.11,93.24191
2026-04-16 04:15:00,74940.11,74975.4,74881.32,74921.99,80.34074
2026-04-16 04:30:00,74922.0,75174.38,74871.86,75109.36,117.77389
2026-04-16 04:45:00,75109.36,75109.36,74728.0,74944.15,222.15532
2026-04-16 05:00:00,74944.15,75009.99,74900.0,74913.89,61.72557
2026-04-16 05:15:00,74913.89,75106.92,74900.0,75070.23,65.12915
2026-04-16 05:30:00,75070.23,75139.82,75016.78,75055.51,140.69322
2026-04-16 05:45:00,75055.51,75079.98,75006.37,75043.48,91.46423
2026-04-16 06:00:00,75043.47,75115.12,75004.73,75009.79,166.43904
2026-04-16 06:15:00,75009.8,75082.86,75005.25,75020.18,126.14267
2026-04-16 06:30:00,75020.17,75027.19,74853.72,74940.92,131.54194
2026-04-16 06:45:00,74940.92,75045.03,74909.47,75045.01,180.71919
2026-04-16 07:00:00,75045.01,75082.78,74889.31,74905.19,203.99755
2026-04-16 07:15:00,74905.2,74937.77,74866.9,74903.01,186.75534
2026-04-16 07:30:00,74903.01,74905.19,74828.0,74859.84,103.34478
2026-04-16 07:45:00,74859.84,74859.85,74636.0,74707.03,213.96323
2026-04-16 08:00:00,74707.02,74744.35,74500.0,74520.72,290.43522
